total_t,total_f,prep_t,prep_f,minor_t,minor_f,teach_q_t,teach_q_f,vdip_t,vdip_f,ip_t,dip_f,bsc_t,bsc_f,hdip_t,hdip_f,msc_t,Msc_f,phd_t,phd_f,program_en,program_ar,prog_isced2,prog_isced1,inst,inst_type
58,39,,,,,,,,,,,58,39,,,,,,,Industrial Engineering,الهندسة الصناعية,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
189,28,,,,,,,,,,,189,28,,,,,,,Electrical Engineering,الهندسة الكهربائية,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
330,188,,,,,,,,,,,330,188,,,,,,,Computer Engineering,هندسة الحاسوب,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
1,,,,,,,,,,,,,,,,1,,,,Electrical Engineering (Control Systems),الهندسة الكهربائية/أنظمة تحكم,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
10,5,,,,,,,,,,,,,,,10,5,,,Computer Engineering,هندسة الحاسوب,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
11,4,,,,,,,,,,,11,4,,,,,,,Environmental Engineering,هندسة بيئية,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
126,,,,,,,,,,,,126,,,,,,,,Mechanical Engineering,الهندسة الميكانيكية,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
36,3,,,,,,,,,,,,,,,36,3,,,Civil Eng./Infrastructure,الهندسة المدنية/البنى التحتية,"العمارة والبناء
Architecture & Building","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
1,,,,,,,,,,,,,,,,1,,,,Civil Engineering,الهندسة المدنية,"العمارة والبناء
Architecture & Building","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
588,127,,,,,,,,,,,588,127,,,,,,,Civil Engineering,الهندسة المدنية,"العمارة والبناء
Architecture & Building","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
360,277,,,,,,,,,,,360,277,,,,,,,Architecture Engineering,الهندسة المعمارية,"العمارة والبناء
Architecture & Building","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
9,,,,,,,,,,,,,,,,9,,,,Civil Engineering,الهندسة المدنية/تصميم وتأهيل المنشآت,"العمارة والبناء
Architecture & Building","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
8,2,,,,,,,,,,,,,,,8,2,,,Water Resources Eng.,هندسة مصادر المياه,"العمارة والبناء
Architecture & Building","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
23,12,,,,,,,,,,,,,,,23,12,,,Architecture Engineering,الهندسة المعمارية,"العمارة والبناء
Architecture & Building","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
1202,739,,,,,,,,,,,1202,739,,,,,,,Nursing,التمريض,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
65,50,,,,,,,,,,,,,,,65,50,,,Community & Psychological Health,الصحة النفسية والمجتمعية,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
684,361,,,,,,,,,,,684,361,,,,,,,Medicine & Surgery,الطب والجراحة,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
28,28,,,,,,,,,,,,,,,28,28,,,Biological Science-Medical Laboratory,العلوم الحياتية-تحاليل طبية,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
240,240,,,,,,,,,,,240,240,,,,,,,Midwifery,القبالة القانونية,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
30,19,,,,,,,,,,,,,30,19,,,,,Community & Psychological Health,الصحة النفسية والمجتمعية/علاج نفسي,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
227,201,,,,,,,,,,,227,201,,,,,,, العلوم الطبية المخبرية , العلوم الطبية المخبرية ,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
109,94,,,,,,,,,,,109,94,,,,,,,تكنولوجيا البصريات الطبية ,تكنولوجيا البصريات الطبية ,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
111,94,,,,,,,,,,,111,94,,,,,,,العلاج الطبيعي ,العلاج الطبيعي ,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
234,207,,,,,,,,,,,234,207,,,,,,,كلية علوم صحة عام,كلية علوم صحة عام,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
20,6,,,,,,,20,6,,,,,,,,,,,,التخدير والعناية المركزة للاطباء,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
14,7,,,,,,,14,7,,,,,,,,,,,,صحة وتغذية الطفل للاطباء,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
3,,,,,,,,,,3,,,,,,,,,,Community College,كلية مجتمع,"عام
General","عام
General","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
51,33,,,,,,,,,,,,,,,51,33,,,Curriculum & Teaching Methods,مناهج وطرق تدريس,"علوم التربية
Education Science","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
217,53,,,,,,,,,,,217,53,,,,,,,Physical Education and  Sport,التربية البدنية والرياضية,"علوم التربية
Education Science","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
165,163,,,,,,,,,,,165,163,,,,,,,Teaching Methods of Biology ,الأحياء وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
77,77,,,,,,,,,,,77,77,,,,,,,Teaching Methods of History,التاريخ وأساليب تدريسه,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
311,66,,,,,,,,,,,311,66,,,,,,,Physical Education,التربية الرياضية,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
65,65,,,,,,,,,,,65,65,,,,,,,Teaching Methods of Geography,الجغرافيا وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
1,1,,,,,,,,,,,1,1,,,,,,,Teaching Methods of Computer,الحاسوب وأساليب تدريسة,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
372,278,,,,,,,,,,,372,278,,,,,,,Teaching Methods of Math,الرياضيات وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
25,25,,,,,,,,,,,25,25,,,,,,,Teaching Methods of Physics,الفيزياء وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
82,82,,,,,,,,,,,82,82,,,,,,,Teaching Methods of Chemistry,الكيمياء وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
991,811,,,,,,,,,,,991,811,,,,,,,Teaching Methods of English Language,اللغة الإنجليزية وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
543,456,,,,,,,,,,,543,456,,,,,,,Arabic Language & Islamic Education,تعليم اللغة العربية والتربية الإسلامية,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
55,42,,,,,,,,,,,55,42,,,,,,,French Language ,اللغة الفرنسية وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
2227,1743,,,,,,,,,,,2227,1743,,,,,,,Brimary level (Class Room Teaching),تعليم المرحلة الأساسية ,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
656,464,,,,,,,,,,,656,464,,,,,,,Islamic Studies,الدراسات الإسلامية و أساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
214,186,,,,,,,,,,,214,186,,,,,,,Mathematics,تعليم الرياضيات,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
1003,714,,,,,,,,,,,1003,714,,,,,,,Teaching Methods of Arabic Language,اللغة العربية وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
74,52,,,,,,,,,,,,,,,74,52,,,Psychology,الإرشاد النفسي,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
153,137,,,,,,,,,,,153,137,,,,,,,Teaching Civics ,تعليم الإجتماعيات,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
226,205,,,,,,,,,,,226,205,,,,,,,Teaching Science,تعليم العلوم,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
477,446,,,,,,,,,,,477,446,,,,,,,English Language,تعليم اللغة الإنجليزية,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
107,70,,,,,107,70,,,,,,,,,,,,,Educational Qualification,دبلوم التأهيل التربوي,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
208,203,,,,,,,,,,,208,203,,,,,,,Fine Arts,الفنون الجميلة,"الفنون
Arts","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
322,228,,,,,,,,,,,322,228,,,,,,,Interior Design,الديكور,"الفنون
Arts","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
133,60,,,,,,,,,,,133,60,,,,,,,Radio & T.V Arts, الإذاعة والتلفزيون,"الفنون
Arts","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
3,1,,,,,,,,,,,3,1,,,,,,,History,التاريخ,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
367,366,,,,,,,,,,,367,366,,,,,,,Philosophy & Sociology,علم الإجتماع,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
542,495,,,,,,,,,,,542,495,,,,,,,English Language & Literature,اللغة الانجليزية,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
31,19,,,,,,,,,,,,,,,31,19,,,Arabic Language,اللغة العربية,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
288,287,,,,,,,,,,,288,287,,,,,,,Arabic Language,اللغة العربية وآدابها,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
1,1,,,,,,,,,,,1,1,,,,,,,Geography,الجغرافيا,"العلوم الإجتماعية والسلوكية 
Social & Behavioral Science","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
1059,947,,,,,,,,,,,1059,947,,,,,,,Psychology,الارشاد النفسي,"العلوم الإجتماعية والسلوكية 
Social & Behavioral Science","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
13,8,,,,,,,,,,,,,,,13,8,,,Contemporary Historical Studies,الدراسات التاريخية المعاصرة,"العلوم الإجتماعية والسلوكية 
Social & Behavioral Science","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
1,1,,,,,,,,,,,1,1,,,,,,,Library Science,علوم المكتبات,"الصحافة والإعلام
Journalism & Information","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
246,133,,,,,,,,,,,246,133,,,,,,,Media,الإعلام,"الصحافة والإعلام
Journalism & Information","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
104,44,,,,,,,,,,,104,44,,,,,,,Journalism,الصحافة,"الصحافة والإعلام
Journalism & Information","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
952,449,,,,,,,,,,,952,449,,,,,,,Financing & Management ,العلوم الإدارية المالية,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
688,276,,,,,,,,,,,688,276,,,,,,,Accounting,المحاسبة,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
483,261,,,,,,,,,,,483,261,,,,,,,Business Administration,إدارة الأعمال,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
18,13,,,,,,,,,,,18,13,,,,,,,Management Information System ,نظم المعلومات الإدارية,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
108,52,,,,,,,,,,,108,52,,,,,,, Public Relations,العلاقات العامة,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
14,2,,,,,,,,,,,,,,,14,2,,,Statecraft and Governance,ادارة الدولة والحكم الرشيد,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
64,17,,,,,,,,,,,,,,,64,17,,,Leadership and Management,القيادة والادارة ,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
40,8,,,,,,,,,,,,,,,40,8,,,Diplomacy and international relations,الدبلوماسية والعلاقات الدولية,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
31,5,,,,,,,,,,,,,,,31,5,,,law and General Management,القانون والادارة العامة,"القانون
Law","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
45,18,,,,,,,,,,,45,18,,,,,,,Computer Science,علم الحاسوب,"الحاسوب والمعلوماتية
Computing","العلوم
Science","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
70,59,,,,,,,,,,,70,59,,,,,,,Technology Teaching,  التكنولوجيا والعلوم التطبيقية واساليب تدريسها,"الحاسوب والمعلوماتية
Computing","العلوم
Science","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
107,34,,,,,,,,,,,107,34,,,,,,,Network & Mobile Technology,تكنولوجيا الشبكات والموبايل,"الحاسوب والمعلوماتية
Computing","العلوم
Science","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
215,109,,,,,,,,,,,215,109,,,,,,,Applied Information Technology,تكنولوجيا المعلومات التطبيقية,"الحاسوب والمعلوماتية
Computing","العلوم
Science","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
511,441,,,,,,,,,,,511,441,,,,,,,Medical Technology ,تكنولوجيا طبية,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
181,132,,,,,,,,,,,181,132,,,,,,,Nursing,التمريض,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","جامعة الأقصى
Al Aqsa University - Gaza","جامعات تقليدية
Traditional Universities"
239,218,,,,,,,,,,,239,218,,,,,,,Cuidance & Counseling,التوجيه والإرشاد ,"علوم التربية
Education Science","التربية
Education","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
26,21,,,,,,,,,,,,,,,26,21,,,Applied Linguistics & Teaching English,اللغويات التطبيقية وتعليم اللغة الإنجليزية,"علوم التربية
Education Science","التربية
Education","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
53,40,,,,,,,,,,,,,,,53,40,,,Educational Guidance & Psychological Counseling,الإرشاد النفسي والتربوي,"علوم التربية
Education Science","التربية
Education","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
85,66,,,,,,,,,85,66,,,,,,,,,Sports Training,التدريب الرياضي,"علوم التربية
Education Science","التربية
Education","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
1,,,,,,,,,,,,1,,,,,,,,Teaching Methods of Arabic-Islamic Education,اللغة العربية - التربية الإسلامية وأساليب تدريسهما,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
28,26,,,,,,,,,,,28,26,,,,,,,Teaching Methods of Islamic Education,معلم المرحلة الأساسية العليا - تعليم التربية الإسلامية,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
113,93,,,,,,,,,,,113,93,,,,,,,Teaching Methods of Arabic Language,معلم المرحلة الأساسية العليا - تعليم اللغة العربية,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
182,164,,,,,,,,,,,182,164,,,,,,,Teaching Methods of English Language,معلم المرحلة الأساسية العليا - تعليم اللغة الإنجليزية,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
49,46,,,,,,,,,,,49,46,,,,,,,Teaching Methods of Social Science ,معلم المرحلة الأساسية العليا - تعليم الاجتماعيات,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
55,51,,,,,,,,,,,55,51,,,,,,,Teaching Methods of  Mathematics,معلم المرحلة الأساسية العليا - تعليم الرياضيات,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
32,28,,,,,,,,,,,32,28,,,,,,,Teaching Methods of Science,معلم المرحلة الأساسية العليا - تعليم العلوم,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
1,,,,,,,,,,,,1,,,,,,,,Teaching Methods of Technology,معلم المرحلة الأساسية العليا - تعليم التكنولوجيا,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
675,577,,,,,,,,,,,675,577,,,,,,,معلم المرحلة الأساسية الدنيا,معلم المرحلة الأساسية الدنيا,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
1,,,,,,,,,,,,1,,,,,,,,Mathematics - Physics and their Teaching Methods,الرياضيات - الفيزياء وأساليب تدريسهما,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
105,48,,,,,,,,,,,105,48,,,,,,,Political Science,العلوم السياسية,"الدراسات الإنسانية والفنون-عام
Humanities & Arts-General","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
442,363,,,,,,,,,,,442,363,,,,,,,English Language & Literature,اللغة الإنجليزية وآدابها,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
136,102,,,,,,,,,,,136,102,,,,,,,Arabic Language & Literature,اللغة العربية وآدابها,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
40,17,,,,,,,,,,,,,,,40,17,,,Religious Law ,القضاء الشرعي,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
33,24,,,,,,,,,,,,,,,33,24,,,Arabic Language & Literature,اللغة العربية وآدابها,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
232,164,,,,,,,,,,,232,164,,,,,,,Jurisprudence,الفقه والتشريع,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
99,56,,,,,,,,,,,99,56,,,,,,,Religion Fundamentals,أصول الدين,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
92,78,,,,,,,,,,,92,78,,,,,,,History (Minor Geography),التاريخ فرعي جغرافية,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
253,210,,,,,,,,,,,253,210,,,,,,,English Language (Minor French Language),رئيسي لغة إنجليزية-فرعي لغة فرنسية,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
29,23,,,,,,,,,,,29,23,,,,,,,History (Minor تاريخ),رئيسي تاريخ/فرعي آثار,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
16,7,,,,,,,,,,,16,7,,,,,,,History (Minor Political Science),رئيسي تاريخ/فرعي علوم سياسية,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
18,11,,,,,,,,,,,,,,,18,11,,,History,التاريخ,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
35,16,,,,,,,,,,,,,,,35,16,,,Religion Fundamentals,أصول الدين,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
166,116,,,,,,,,,,,166,116,,,,,,,Archeology,علم الآثار,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
5,3,,,,,,,,,,,,,,,,,5,3,,الفقه واصوله,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
242,211,,,,,,,,,,,242,211,,,,,,,Applid Geography,الجغرافيا التطبيقية ,"العلوم الإجتماعية والسلوكية 
Social & Behavioral Science","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
138,127,,,,,,,,,,,138,127,,,,,,,,الارشاد النفسي والتربوي,"العلوم الإجتماعية والسلوكية 
Social & Behavioral Science","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الخليل
Hebron University","جامعات تقليدية
Traditional Universities"
